store_id,promo,price,temp_c,dow,units
27,1,5.66,-5.5,4,92.7
35,1,6.3,16.0,2,99.0
8,1,8.93,9.3,2,73.5
29,1,6.81,26.1,1,89.1
15,0,4.75,13.0,3,75.3
20,1,7.01,8.8,6,75.6
1,1,5.27,13.3,4,100.3
25,0,4.89,16.3,2,92.8
33,0,4.56,10.5,3,88.5
26,1,5.45,14.6,1,104.7
7,1,3.97,4.2,1,111.4
21,1,3.69,13.2,4,125.1
11,0,3.04,21.2,2,106.3
38,1,5.08,30.8,0,123.8
35,1,4.05,20.7,2,123.9
8,1,7.86,17.2,3,71.0
20,1,7.94,24.5,2,86.9
37,0,4.41,23.2,3,104.8
34,1,6.33,28.3,4,105.1
28,0,8.32,23.7,2,59.1
25,0,4.51,14.1,3,84.8
2,0,5.88,17.1,2,74.9
29,1,5.1,16.4,2,116.4
19,0,6.55,17.4,3,70.1
4,1,8.72,16.6,4,69.3
10,0,2.97,8.7,0,80.1
22,0,8.76,-1.8,5,34.9
29,0,6.66,9.6,5,55.6
20,0,7.57,-1.2,4,36.2
24,0,6.45,15.5,1,75.9
34,1,8.09,15.0,2,84.4
27,1,4.28,1.6,5,97.1
15,1,6.96,20.5,6,103.4
26,0,3.85,21.9,6,106.7
24,0,5.56,15.8,0,75.1
5,1,6.77,28.3,4,107.7
3,1,3.41,30.0,5,129.8
26,0,2.43,5.4,5,97.0
16,0,7.54,23.3,2,58.4
24,1,7.66,18.5,4,80.4
13,0,6.66,18.3,2,76.6
9,0,4.25,22.5,0,89.6
6,1,6.61,9.2,5,85.7
15,0,2.59,10.3,0,97.9
32,0,6.64,8.4,4,64.8
16,0,6.03,9.0,2,67.9
15,0,6.32,14.2,6,79.5
23,1,5.13,3.4,2,94.7
39,0,3.58,6.6,6,86.5
16,1,7.08,19.6,2,90.4
24,0,5.25,14.4,0,81.9
18,1,7.22,18.1,2,85.3
24,0,4.55,-0.1,3,78.3
18,1,2.61,8.7,6,141.0
25,0,5.8,10.6,5,72.9
22,0,6.36,15.3,2,72.0
27,0,8.45,10.3,0,56.0
38,1,8.21,22.5,2,81.1
6,0,2.4,14.5,3,103.7
22,1,7.4,15.1,3,80.1
18,0,3.83,15.1,6,101.0
14,0,6.88,20.7,2,74.2
10,0,4.66,11.2,1,83.7
3,0,4.25,24.0,2,99.0
16,1,5.42,18.7,0,116.0
33,1,5.71,16.2,0,108.8
4,1,6.86,15.3,2,83.5
16,1,6.47,19.2,1,98.7
38,0,6.75,23.1,2,74.9
38,0,4.69,22.6,5,100.7
9,1,6.74,18.0,2,93.9
1,1,4.42,22.0,5,119.6
27,1,6.25,15.9,3,95.4
1,1,5.22,25.0,1,104.6
12,0,5.94,14.8,5,78.1
20,0,2.12,-1.6,1,94.8
35,0,5.49,25.7,3,91.0
4,1,3.54,15.9,0,117.8
26,1,4.7,5.6,4,102.0
21,1,2.52,13.4,5,128.7
6,0,6.6,7.9,0,57.0
33,1,8.25,31.8,3,96.1
33,1,4.48,19.0,0,114.7
19,0,2.74,2.5,4,98.4
37,0,6.34,19.4,6,71.4
24,1,2.89,11.8,4,127.4
36,1,8.24,30.3,2,80.6
38,0,2.86,6.6,4,95.0
23,1,4.53,-3.0,6,99.3
11,1,5.46,15.5,3,108.8
6,1,2.83,12.2,2,128.7
22,0,4.23,11.7,1,87.9
8,0,3.93,-2.1,4,85.8
30,0,6.99,18.4,6,72.2
37,1,8.9,28.4,4,86.1
10,0,4.54,-0.3,6,84.0
22,0,7.54,24.4,0,67.2
2,1,2.98,10.5,0,123.1
8,1,6.06,33.8,0,116.2
15,1,5.03,18.5,6,112.3
35,0,4.02,13.5,3,94.7
38,0,7.75,23.8,4,71.8
26,0,7.22,19.2,0,71.6
23,0,2.94,10.3,0,97.8
23,1,4.05,20.7,2,115.1
3,0,7.74,10.9,5,57.6
15,0,8.95,0.7,1,34.5
39,1,6.28,31.3,5,119.7
17,0,8.1,12.2,2,50.2
9,1,8.89,10.1,5,70.1
10,1,7.18,17.7,3,95.1
28,1,6.51,2.5,2,82.0
2,0,3.55,4.2,2,88.4
38,0,4.59,11.0,2,95.2
35,0,6.36,10.8,2,76.9
23,1,8.48,15.6,3,80.4
19,0,4.11,24.0,3,101.5
30,0,4.77,11.2,4,77.6
22,0,2.16,18.9,4,117.7
19,0,6.88,19.8,2,70.5
13,0,5.1,6.3,0,77.6
18,0,7.58,16.8,3,58.0
30,1,3.64,7.5,6,119.1
3,0,6.62,23.5,6,77.5
1,1,6.71,18.6,3,97.7
29,1,5.25,15.1,6,118.5
15,1,3.32,4.3,6,121.8
32,1,4.82,15.9,2,101.7
2,1,7.22,8.9,0,77.4
36,1,3.32,20.6,3,120.2
5,0,2.63,14.0,0,101.2
17,1,5.24,8.5,5,108.1
38,1,3.64,22.4,0,130.5
5,1,7.6,20.8,1,85.6
26,1,7.72,10.3,6,84.2
29,1,8.62,24.3,3,77.7
17,1,7.88,12.6,2,71.4
4,0,6.53,12.5,0,59.3
21,1,3.31,16.0,5,123.9
17,1,7.76,9.0,3,86.7
35,1,7.1,11.5,4,78.4
27,0,7.23,13.7,0,69.4
14,0,6.88,27.2,0,84.1
3,0,7.81,27.0,4,66.0
24,1,4.08,12.9,2,116.0
11,1,6.71,27.9,5,102.6
27,0,5.62,14.7,2,77.9
34,0,4.36,18.0,1,96.6
14,0,4.29,22.1,3,96.7
36,1,3.09,17.3,0,135.2
21,1,5.44,34.3,5,130.6
21,1,4.58,16.9,4,116.8
30,1,4.95,5.4,0,103.9
31,1,7.96,25.4,6,92.0
36,0,6.77,11.7,6,69.8
39,1,6.76,12.6,4,83.9
6,1,8.89,-8.9,3,55.5
17,1,3.52,23.0,3,130.9
37,1,5.56,21.5,2,103.9
12,0,2.65,21.4,4,124.5
1,0,4.75,22.8,4,87.0
23,0,8.65,28.5,6,58.1
30,0,2.6,14.6,1,108.3
29,1,7.3,22.5,5,84.7
32,0,8.06,9.0,4,45.6
26,1,5.56,12.2,4,92.5
6,1,7.58,23.5,2,85.7
34,0,5.09,18.1,6,88.0
17,1,4.47,4.3,3,107.6
34,0,5.54,17.9,2,88.0
32,1,3.36,13.5,1,128.4
38,0,4.15,8.5,2,94.1
1,0,4.14,18.5,1,98.7
34,1,8.92,11.8,2,66.6
25,1,4.35,2.4,6,115.0
19,1,3.6,6.1,5,115.4
31,1,8.58,29.2,4,82.8
38,1,2.97,2.9,6,130.9
21,0,8.76,16.8,2,54.6
4,0,7.97,19.9,2,61.2
29,0,6.53,20.1,5,81.2
9,1,4.99,5.2,1,106.7
9,0,3.38,12.4,6,92.3
8,1,2.74,16.1,0,131.0
8,1,2.73,21.4,1,128.8
36,0,4.44,9.8,3,86.1
15,1,4.85,5.7,6,102.1
5,1,8.47,23.0,4,90.7
7,0,5.75,23.8,0,87.2
16,1,8.93,18.0,6,72.4
14,0,7.05,10.1,4,60.7
13,1,3.02,18.3,2,123.4
37,0,5.87,15.9,1,76.9
34,0,3.12,21.7,1,110.7
23,0,2.27,5.0,1,103.7
39,0,8.61,15.9,0,39.0
14,1,4.36,13.7,3,112.2
6,1,3.33,6.1,2,121.0
11,0,2.71,16.7,4,109.1
4,1,6.56,15.3,5,104.5
38,0,5.23,11.7,3,71.6
9,0,2.08,18.2,3,117.6
18,0,7.01,3.6,4,52.0
8,1,3.8,14.6,5,124.4
39,1,7.46,18.5,6,94.0
7,1,5.42,17.3,3,111.1
21,1,5.75,23.6,1,105.5
38,0,5.2,5.4,3,75.7
21,0,6.73,2.9,1,51.0
36,1,8.93,16.9,3,64.9
35,0,7.59,18.6,4,65.8
30,1,2.48,32.0,1,146.4
29,0,5.46,19.9,2,74.0
23,1,3.64,8.0,0,111.4
23,1,2.72,21.4,2,136.0
33,1,3.37,8.2,6,131.5
17,1,3.74,3.1,3,117.9
37,1,8.72,35.9,3,95.3
35,0,7.21,17.6,4,54.5
15,0,7.97,20.7,6,62.9
17,1,6.89,19.5,6,100.7
28,0,4.21,29.5,0,105.6
36,0,4.74,17.3,6,94.0
4,1,5.08,24.7,1,114.8
3,1,4.05,6.8,5,125.2
10,0,4.95,3.9,0,84.6
17,0,7.4,26.4,2,69.9
7,0,2.53,26.8,2,111.2
21,1,3.94,19.1,6,137.8
22,1,5.35,16.8,2,104.0
38,0,6.73,16.3,4,75.9
30,0,6.52,9.5,2,76.8
10,0,7.07,27.3,1,68.7
31,1,2.74,20.3,5,139.6
32,1,3.27,19.0,6,129.7
27,0,4.16,18.0,5,100.6
27,1,3.97,23.4,1,127.6
13,0,7.29,19.0,5,80.3
28,0,8.95,21.0,4,55.0
6,0,6.78,5.6,3,59.7
25,0,2.23,19.1,4,120.5
36,0,4.08,32.5,4,105.3
38,0,7.62,10.9,6,56.8
12,1,8.47,14.0,1,88.8
13,0,6.16,22.1,4,73.9
25,1,4.44,22.7,1,117.7
16,0,4.49,20.0,6,96.3
29,1,6.43,2.1,2,78.9
8,0,8.05,19.0,0,45.7
7,1,4.39,5.5,5,116.7
2,0,3.33,8.4,0,90.0
19,0,2.02,19.4,1,112.7
9,0,2.96,12.6,1,99.4
12,0,7.96,21.5,2,55.3
36,1,6.37,40.2,4,109.8
32,1,8.93,21.2,4,77.7
33,0,2.49,20.8,2,127.0
24,0,4.56,7.8,6,90.0
5,0,7.57,9.9,0,60.1
30,0,6.63,6.5,1,52.8
24,0,2.47,10.7,1,104.6
36,1,4.81,6.3,1,96.9
19,1,6.46,9.7,4,95.7
7,1,6.81,13.3,5,92.2
24,0,5.16,7.0,2,76.5
18,0,3.32,3.6,3,90.5
26,0,8.76,4.1,5,39.2
15,0,5.27,18.6,5,78.3
12,1,7.02,15.5,3,93.8
5,1,5.74,23.2,5,103.4
38,0,2.56,23.4,6,110.0
30,0,3.66,12.3,3,92.9
19,1,2.44,20.4,5,136.5
10,1,3.34,3.5,4,117.3
25,1,3.4,33.3,3,145.0
17,0,4.9,24.6,3,94.3
25,0,4.25,13.3,2,91.1
4,0,4.54,5.7,6,84.2
8,1,7.72,18.0,1,90.9
29,0,2.15,0.0,2,88.1
3,0,2.72,8.8,2,103.0
27,0,7.65,21.0,1,58.2
17,0,5.74,15.6,2,70.2
1,1,5.07,11.1,4,105.4
30,0,3.87,22.6,2,98.6
28,0,5.8,6.7,1,73.4
32,1,3.55,17.3,1,131.4
35,1,8.01,11.0,3,63.4
29,1,7.77,8.2,3,77.0
33,1,4.25,18.7,2,131.0
5,0,2.17,7.1,0,109.9
36,0,8.21,30.2,3,74.5
36,1,4.09,10.3,6,117.6
28,1,6.6,30.9,3,98.1
32,0,8.01,6.2,3,41.8
29,1,7.59,19.8,4,92.7
35,0,8.04,5.4,0,53.3
35,0,5.42,4.3,3,67.2
21,1,7.9,16.3,2,81.0
32,0,5.23,20.4,3,87.9
36,1,3.85,4.8,1,101.4
12,0,5.37,24.5,0,86.1
2,0,4.35,8.6,1,94.9
7,0,7.37,16.0,4,75.5
2,1,7.82,18.0,3,84.1
17,1,2.99,19.8,0,143.1
1,0,3.15,0.6,1,87.1
11,1,4.69,27.9,5,120.6
10,0,5.24,19.5,1,72.0
28,1,8.69,11.6,5,80.1
10,0,8.59,6.8,4,41.2
38,0,8.77,1.4,4,51.5
8,1,7.11,4.1,3,82.4
38,1,6.74,19.4,1,97.3
23,0,3.89,12.3,4,81.7
10,0,4.61,5.9,3,89.6
2,1,2.02,10.8,3,131.9
12,0,7.83,27.5,4,66.3
24,1,3.93,12.4,3,104.0
5,1,2.55,10.3,0,134.2
7,0,4.21,25.8,2,106.2
5,0,4.26,18.7,4,90.5
27,1,7.07,15.4,2,90.4
4,1,2.04,10.1,1,135.7
1,0,3.61,2.6,3,93.2
18,1,8.28,5.6,2,71.1
13,1,7.98,11.2,2,88.1
23,0,6.4,13.2,1,68.0
37,1,5.91,17.8,5,102.1
34,1,3.56,19.4,4,123.6
21,1,8.13,16.8,1,65.6
26,1,7.33,16.8,5,86.6
32,1,5.59,6.9,1,103.1
18,1,3.13,-2.2,1,114.8
26,0,3.51,10.8,2,90.0
9,1,4.66,7.4,6,111.4
24,1,4.32,9.8,5,102.4
10,0,2.43,12.8,4,105.1
8,0,4.84,5.1,5,83.9
30,1,5.14,6.1,5,107.9
23,1,4.01,14.2,3,113.3
15,1,4.69,15.9,6,121.3
2,1,4.33,9.8,2,122.6
10,0,4.64,19.0,2,88.2
32,1,6.33,13.2,4,99.5
19,0,5.48,6.8,6,66.7
38,0,3.38,15.3,5,91.0
36,0,7.57,30.1,6,78.5
34,0,5.59,9.6,1,74.5
1,0,5.21,24.3,3,90.8
2,1,6.99,26.0,4,95.6
23,0,7.26,27.0,6,73.5
14,1,7.94,8.4,4,80.8
33,1,7.68,31.1,6,109.9
13,0,6.68,15.9,2,67.6
6,0,7.05,13.0,4,53.2
5,1,3.1,13.2,1,133.4
12,1,6.89,19.8,1,98.7
25,0,3.78,15.4,4,100.2
5,1,3.8,13.6,1,120.6
32,0,2.84,25.3,1,126.9
12,0,4.78,9.2,0,82.1
13,1,2.14,6.7,2,132.8
26,0,6.6,21.3,1,62.9
34,0,7.24,20.6,3,63.9
17,0,7.43,23.8,4,64.0
32,0,2.9,6.4,6,100.1
12,0,6.49,23.7,4,79.1
6,0,7.87,18.9,1,55.5
33,0,2.25,29.1,2,132.0
30,0,3.35,5.0,0,85.5
30,1,3.87,16.7,3,118.6
35,0,5.23,12.8,3,81.7
20,0,3.21,2.3,5,86.5
8,0,5.77,9.3,6,78.7
23,1,4.41,24.0,6,128.8
23,1,6.59,11.2,0,89.3
16,0,5.72,9.2,0,84.2
25,1,6.8,21.9,4,98.1
11,0,3.72,22.9,6,107.4
24,1,6.95,22.9,0,91.2
31,0,7.14,8.7,5,51.8
4,1,7.05,14.5,3,85.5
18,1,2.48,23.2,3,137.8
26,0,8.62,9.8,0,42.9
2,1,6.04,9.0,3,99.1
25,0,3.91,21.6,4,85.5
36,1,5.04,27.5,4,112.0
33,0,5.62,5.8,2,60.0
27,0,5.62,-5.8,4,69.7
32,0,3.74,3.4,4,83.5
15,1,3.85,6.9,5,113.5
13,1,4.55,13.9,1,106.0
4,1,7.47,19.9,6,98.0
29,0,5.06,13.8,0,80.2
13,0,2.27,9.4,0,107.0
34,0,5.17,16.2,1,71.3
19,0,3.41,7.3,0,100.2
35,1,2.09,14.6,1,138.9
6,1,8.84,9.9,3,72.0
7,0,4.06,36.4,1,117.7
14,0,5.76,21.5,2,81.0
2,0,4.51,8.3,1,82.5
20,1,2.37,7.0,6,135.1
26,1,8.31,11.5,3,77.5
26,0,8.55,1.8,4,38.4
9,1,3.31,9.2,3,120.9
7,0,4.93,9.1,3,77.1
22,0,4.62,22.1,5,100.8
25,0,3.17,11.6,6,107.5
37,1,6.63,8.7,3,88.7
35,1,7.47,4.3,3,88.5
15,0,7.32,5.6,3,45.4
7,1,6.73,14.5,3,91.0
10,0,2.12,13.3,4,120.5
35,1,3.61,24.1,1,127.2
18,1,5.6,10.0,5,92.9
39,1,6.92,23.5,0,106.2
26,0,4.7,17.1,4,92.0
24,1,5.14,15.0,6,103.7
4,0,7.89,-1.1,0,48.5
24,1,2.16,4.7,6,124.8
15,1,3.88,20.9,3,116.5
33,1,4.03,26.2,5,129.5
6,1,8.95,16.7,0,70.2
8,1,3.59,21.1,6,123.9
26,0,2.33,11.7,4,104.7
27,0,4.92,12.0,4,76.5
33,1,6.55,9.7,0,90.6
21,0,3.07,22.8,2,108.7
15,0,7.88,17.7,3,63.5
12,1,3.38,13.1,1,120.3
15,1,6.93,12.4,1,80.8
26,0,3.13,19.5,4,97.6
22,0,8.17,17.6,5,57.7
12,1,3.41,8.3,1,128.2
9,0,7.12,28.7,0,80.1
28,1,7.87,17.1,1,79.8
10,0,3.78,15.1,4,101.6
9,0,2.65,26.8,3,109.0
13,1,6.1,23.2,4,111.4
34,1,5.49,14.3,6,104.7
18,0,5.36,19.3,1,88.9
24,0,7.47,6.4,4,57.6
4,1,5.24,9.9,4,101.2
14,0,5.48,-3.1,5,70.1
30,1,5.41,24.8,2,106.7
31,0,5.18,-0.2,0,69.9
23,1,4.84,20.5,1,121.7
35,1,3.13,8.4,0,146.4
12,0,4.07,7.2,1,91.0
7,1,3.85,13.4,5,122.4
4,1,3.74,17.1,0,116.8
8,1,7.48,19.9,1,96.0
30,1,2.8,29.2,4,131.5
36,0,3.44,17.9,1,96.5
6,1,5.68,22.0,0,110.5
20,0,4.19,10.2,3,80.8
6,0,3.68,20.7,1,110.6
33,1,4.61,16.2,4,120.5
6,0,5.51,11.3,0,73.0
25,1,6.72,14.2,0,88.9
4,0,8.81,14.5,5,42.7
29,0,7.97,16.5,4,48.8
36,0,5.01,18.2,3,89.4
29,1,5.16,10.9,4,108.2
11,1,4.91,9.1,3,107.5
33,0,3.67,21.0,3,103.3
12,0,8.66,1.4,4,35.2
30,1,2.48,10.1,0,131.4
33,0,3.43,27.4,5,103.2
19,1,6.63,-6.7,4,76.4
25,0,6.13,9.5,4,78.0
34,1,3.95,20.5,6,134.6
8,0,8.56,1.8,3,37.1
1,1,4.87,35.8,6,128.1
17,0,6.17,-5.7,2,64.8
8,0,2.64,26.5,0,126.6
35,1,8.24,27.5,3,79.4
34,1,2.72,22.3,5,137.2
15,0,4.76,13.2,6,89.5
13,1,8.2,17.9,4,88.5
28,0,8.61,7.8,3,39.1
18,1,8.33,21.5,6,89.7
4,1,7.79,6.0,3,73.7
26,1,3.63,12.8,5,137.8
29,0,2.22,23.0,6,122.6
3,1,5.16,6.1,5,102.8
31,0,2.44,12.1,0,104.2
21,0,8.72,16.3,1,56.3
33,1,2.06,4.3,0,132.7
34,1,4.28,24.3,3,117.0
27,1,3.42,17.7,5,130.7
14,0,2.1,2.9,6,97.0
15,1,5.49,14.6,6,102.7
29,1,2.53,8.8,0,119.9
3,0,8.3,9.7,0,40.7
10,1,6.81,15.6,3,88.4
21,0,4.59,9.3,0,77.7
37,0,7.89,22.7,5,69.1
30,0,7.58,9.4,0,60.0
32,1,4.29,22.9,3,120.9
8,0,7.93,14.6,4,49.3
11,1,8.51,21.8,2,86.2
11,0,6.34,10.7,0,55.9
30,0,4.46,11.0,5,77.5
21,0,8.3,5.8,3,49.9
9,1,8.6,19.6,5,85.7
30,1,4.43,22.5,4,126.5
25,0,2.6,32.0,3,119.3
35,0,8.07,25.3,0,55.7
22,0,6.65,17.0,3,67.1
5,0,3.62,13.3,6,102.4
35,1,5.97,18.1,1,97.9
8,1,4.16,14.8,1,112.8
3,0,8.43,26.7,6,55.6
32,0,4.39,22.6,3,89.1
18,1,3.37,8.3,4,124.4
26,0,2.3,9.5,2,108.2
6,0,4.4,25.9,1,91.7
29,0,8.93,17.5,2,42.4
16,1,3.53,13.1,6,121.3
39,1,5.21,24.5,2,118.1
25,1,8.8,11.9,3,63.6
37,1,2.05,12.8,0,134.5
31,0,4.07,11.3,6,80.2
33,1,7.75,-0.7,3,63.0
4,1,2.67,21.9,5,142.4
31,1,8.5,5.3,1,73.6
24,0,7.84,10.5,4,46.7
16,0,3.0,9.0,2,93.8
13,1,6.15,20.8,2,107.8
26,0,5.89,14.5,1,73.0
8,0,6.86,15.1,4,63.4
8,1,4.15,1.6,2,109.7
35,1,4.69,14.3,0,112.8
30,1,3.69,3.2,4,118.9
24,1,4.04,17.5,4,125.1
30,1,3.23,17.9,6,127.9
13,1,8.33,14.9,6,79.8
29,1,8.21,31.3,1,91.4
9,1,4.52,19.2,0,109.0
18,1,6.85,19.8,6,92.6
6,0,5.43,16.1,6,89.9
15,0,3.97,13.5,4,83.3
14,0,4.45,22.7,4,101.6
17,1,8.76,23.8,0,82.3
19,0,4.39,4.6,3,80.9
2,0,6.05,23.4,0,84.2
14,0,8.62,19.1,5,59.0
33,0,4.08,22.7,6,109.4
17,0,7.66,18.7,0,59.5
22,1,2.8,5.0,1,120.8
5,1,7.13,5.6,6,83.0
16,1,7.65,29.6,0,107.1
38,1,7.86,17.0,5,92.4
22,1,8.83,3.7,4,58.3
1,0,6.98,17.8,4,65.7
29,0,8.84,12.1,4,41.2
31,1,3.95,0.3,1,107.5
15,0,5.65,-3.3,6,67.7
2,1,3.5,2.2,3,127.1
33,0,2.58,17.2,3,98.0
10,0,5.07,14.6,5,92.5
36,1,7.04,13.0,2,90.9
15,0,7.45,17.3,0,58.6
16,1,2.12,19.8,2,139.6
31,1,8.6,-1.8,4,58.6
6,0,3.73,12.6,1,94.7
2,1,4.05,8.4,5,122.1
30,1,7.83,5.1,4,65.3
37,1,8.26,10.6,4,82.7
39,0,7.16,14.0,6,63.7
6,1,4.33,12.9,1,123.0
6,0,5.24,3.4,0,75.2
14,0,7.84,11.1,2,61.6
28,1,4.5,31.1,2,130.3
36,0,7.64,6.6,0,59.0
33,0,7.47,1.5,2,50.4
15,1,5.28,17.2,6,106.4
36,0,8.28,19.8,0,61.0
10,1,4.69,18.7,6,122.5
5,0,7.25,6.0,4,68.3
17,0,6.48,23.0,6,67.6
4,1,4.32,8.7,6,112.5
27,1,5.72,5.9,4,101.6
39,1,6.24,10.1,1,86.1
5,1,5.76,14.1,5,103.0
5,1,2.78,20.7,5,150.7
7,1,8.94,20.0,3,84.4
7,1,8.77,14.8,6,71.0
21,1,2.26,22.5,6,152.9
23,0,8.61,15.7,1,57.7
38,1,5.72,22.2,0,112.9
18,0,2.88,3.8,6,100.8
37,1,7.74,2.4,0,74.6
30,1,5.03,21.2,5,111.8
34,0,6.99,3.9,5,56.4
8,1,7.79,12.6,4,85.3
18,0,5.77,14.2,3,77.2
36,0,2.35,11.1,1,117.5
30,0,7.76,11.4,3,53.2
9,0,6.86,26.1,1,61.1
33,0,8.37,-5.2,6,37.1
30,1,3.89,22.1,0,127.2
6,1,7.5,33.4,2,102.6
3,1,8.11,15.2,6,83.3
11,1,4.49,14.8,4,109.1
19,0,4.87,20.8,5,102.2
6,1,4.34,29.6,0,123.3
2,1,2.04,5.5,0,134.1
5,0,3.62,15.7,3,96.3
13,1,4.32,13.5,3,107.4
16,1,2.76,19.5,5,145.7
13,0,7.36,16.3,1,47.9
18,1,4.99,20.3,3,108.6
29,1,5.98,11.6,5,102.9
10,0,3.99,15.4,3,92.1
18,1,4.52,9.6,4,114.1
29,0,7.27,9.7,6,60.9
3,0,5.29,13.9,6,81.0
37,1,6.18,13.9,6,113.2
39,0,4.96,5.6,5,78.9
12,0,5.9,27.6,4,84.9
35,0,8.28,13.9,0,45.8
10,1,3.87,3.9,2,106.7
36,1,5.63,23.8,2,114.3
26,1,6.81,9.0,5,93.8
10,1,2.61,19.1,4,135.4
3,1,8.73,14.9,1,69.6
16,1,5.49,17.0,6,113.4
30,1,3.72,16.4,0,112.4
9,1,7.32,10.4,2,81.6
21,0,7.71,15.3,4,57.4
5,0,6.41,31.3,1,78.9
17,0,8.41,-2.9,0,38.6
2,1,2.62,15.5,1,128.4
39,0,5.69,18.5,1,75.8
20,0,7.2,6.6,1,67.6
33,0,8.42,4.0,2,47.6
5,1,6.49,32.3,1,116.3
7,1,6.22,12.0,3,95.7
7,0,4.72,31.6,2,106.1
23,0,6.0,19.3,2,83.0
34,0,5.88,15.6,1,83.8
24,0,8.34,18.8,5,72.9
19,1,7.79,20.1,3,85.6
37,0,7.16,24.4,3,73.0
8,1,8.47,18.5,6,82.0
7,0,2.46,16.2,5,91.4
27,0,7.39,16.4,6,57.5
34,0,5.25,25.8,0,90.8
11,0,7.26,21.5,1,72.0
11,0,4.07,7.0,5,86.4
21,1,5.27,9.9,3,109.6
31,0,7.77,17.6,6,70.9
12,0,2.25,10.0,4,104.1
33,1,4.04,12.0,5,127.7
21,0,5.42,7.4,1,84.9
28,1,7.96,12.9,0,82.5
25,0,3.89,18.4,3,91.8
19,1,7.76,23.0,3,98.5
21,1,3.71,15.1,1,120.8
39,1,4.12,31.6,6,131.9
16,0,5.88,14.4,2,76.3
37,1,6.58,40.5,3,111.6
31,1,8.16,23.0,2,92.3
8,1,8.16,19.0,3,87.3
35,0,3.75,11.0,5,103.5
15,1,7.22,-7.6,3,73.8
7,1,6.44,13.8,1,90.1
10,1,4.7,16.4,4,112.5
6,0,7.43,30.4,3,79.0
14,1,8.28,4.0,1,67.1
5,1,5.35,30.2,4,135.9
22,0,8.41,13.0,1,49.1
39,1,2.89,20.8,2,130.7
38,1,3.16,-5.3,0,117.6
37,0,7.35,16.1,6,70.5
10,1,4.14,12.3,4,115.3
9,0,6.1,20.5,2,77.1
27,1,5.48,15.7,4,108.1
38,1,3.02,5.9,2,126.0
33,1,7.28,22.6,6,101.5
9,0,7.19,20.6,4,66.4
29,1,3.02,19.8,0,134.7
20,1,3.82,23.1,3,132.3
18,1,7.6,23.8,2,96.4
20,0,8.39,14.8,5,36.6
22,1,8.09,4.1,6,69.1
36,1,5.51,3.9,1,91.1
31,1,4.57,25.8,1,120.8
2,0,5.12,20.7,1,89.0
30,1,3.23,15.8,6,135.5
13,1,5.47,11.5,5,108.9
14,0,3.62,15.3,3,97.1
24,1,3.13,15.2,2,127.6
39,1,4.66,12.3,4,121.1
3,0,2.45,9.4,5,103.6
21,0,5.29,32.3,0,97.4
10,1,6.87,16.8,1,102.6
36,1,6.56,10.2,4,92.9
19,1,8.83,4.6,1,52.5
34,0,8.2,9.2,6,54.7
35,0,6.44,20.8,6,76.1
