age,income,debt_ratio,n_accounts,late_payments,employed,default
49,25433.0,0.187,6,1,1,0
56,15578.0,0.232,4,0,0,0
32,40237.0,0.273,10,0,0,0
50,16935.0,0.156,11,0,0,0
60,18962.0,0.394,10,1,1,1
64,17058.0,0.224,10,1,1,0
63,45114.0,0.07,0,0,1,0
68,27282.0,0.361,1,1,1,0
27,9616.0,0.241,7,0,0,1
59,42744.0,0.255,10,1,0,0
43,83362.0,0.104,10,0,0,0
54,72802.0,0.271,7,0,0,0
34,22280.0,0.132,1,3,0,1
21,30762.0,0.275,1,1,1,0
25,38166.0,0.058,3,0,1,0
68,46256.0,0.248,10,2,0,0
64,30108.0,0.17,0,0,0,0
35,17117.0,0.308,7,1,0,1
42,43147.0,0.393,6,2,1,1
32,40237.0,0.243,4,0,1,0
28,15208.0,0.643,1,0,0,1
63,24617.0,0.042,0,1,0,0
53,33834.0,0.567,6,2,1,0
24,29532.0,0.011,10,0,0,0
30,38436.0,0.118,0,1,1,0
48,44015.0,0.158,8,0,1,0
65,38766.0,0.357,2,0,1,0
69,27915.0,0.43,6,1,1,0
31,15060.0,0.138,4,1,0,0
50,40219.0,0.45,3,3,1,1
22,59563.0,0.379,6,1,1,0
29,79376.0,0.134,8,0,1,0
30,29068.0,0.211,6,2,1,1
42,29030.0,0.215,10,1,1,0
37,60909.0,0.5,5,1,1,0
56,60674.0,0.151,9,0,1,0
43,35033.0,0.095,2,1,1,0
37,42193.0,0.355,4,0,1,0
65,20188.0,0.218,9,1,1,0
51,39557.0,0.616,11,1,0,1
55,19541.0,0.422,5,0,1,0
57,27465.0,0.182,7,0,1,0
37,27768.0,0.029,3,2,1,0
64,23359.0,0.287,11,0,1,0
21,10272.0,0.487,4,1,0,1
36,19533.0,0.442,9,2,0,1
28,34878.0,0.337,11,0,0,1
21,28639.0,0.108,2,1,1,0
69,24248.0,0.325,9,0,0,0
25,36581.0,0.282,7,1,1,0
43,41660.0,0.301,10,0,0,0
61,45102.0,0.209,9,2,0,1
54,19713.0,0.237,9,0,0,0
62,29825.0,0.25,1,2,0,1
23,24963.0,0.275,0,0,1,0
45,19013.0,0.11,0,0,0,0
22,13955.0,0.339,2,1,0,1
30,28077.0,0.143,3,0,1,0
62,19059.0,0.346,7,1,1,1
24,86548.0,0.408,3,3,1,1
49,28068.0,0.407,0,1,0,1
21,26356.0,0.254,10,0,1,0
36,24169.0,0.328,1,1,1,0
66,75316.0,0.171,2,1,0,0
36,18412.0,0.447,2,1,0,1
36,27205.0,0.287,7,0,0,0
25,20067.0,0.107,6,0,0,0
58,27704.0,0.028,5,0,0,0
29,28962.0,0.59,2,0,0,1
45,51078.0,0.203,10,0,0,0
22,14524.0,0.396,1,2,0,1
22,29178.0,0.383,3,1,0,0
62,66161.0,0.067,7,0,0,0
21,22850.0,0.161,11,0,0,0
43,26980.0,0.22,7,0,0,0
41,18923.0,0.527,10,1,0,1
27,7962.0,0.135,7,1,0,0
52,27981.0,0.064,7,0,0,0
57,53072.0,0.256,1,4,1,1
69,23334.0,0.249,0,1,1,0
30,11711.0,0.203,5,0,0,1
66,33684.0,0.082,0,0,0,0
24,30671.0,0.086,7,0,1,0
27,48619.0,0.453,0,0,0,0
50,46481.0,0.046,3,0,0,0
63,25757.0,0.318,11,1,1,0
64,36007.0,0.378,2,0,0,0
57,11990.0,0.248,2,2,1,0
22,51453.0,0.509,0,1,0,1
41,32354.0,0.382,6,1,1,0
60,50723.0,0.11,6,0,0,0
46,50156.0,0.576,4,0,1,0
30,25536.0,0.41,6,0,1,0
54,27359.0,0.29,2,1,1,0
25,19037.0,0.139,5,0,1,0
55,10492.0,0.518,3,1,0,1
21,27598.0,0.234,11,0,1,0
38,31835.0,0.282,11,0,1,0
35,17130.0,0.162,1,0,0,0
67,42083.0,0.188,11,1,0,0
56,30969.0,0.352,6,0,1,0
53,36987.0,0.216,9,1,1,0
45,20064.0,0.601,3,1,1,0
35,12201.0,0.439,9,0,0,1
62,43498.0,0.416,8,0,1,0
67,40015.0,0.255,3,0,0,0
31,27906.0,0.362,1,0,0,0
32,23884.0,0.196,7,1,0,0
36,25668.0,0.258,5,2,0,1
44,27530.0,0.037,3,1,1,0
33,22859.0,0.415,11,0,1,0
40,10786.0,0.254,1,1,0,1
68,43636.0,0.557,5,0,1,0
39,13962.0,0.184,6,0,1,0
67,24962.0,0.154,8,1,1,0
45,25291.0,0.378,10,1,0,0
37,33597.0,0.231,10,1,1,0
66,13160.0,0.328,11,0,0,0
42,53928.0,0.425,4,1,0,0
58,40943.0,0.08,3,0,0,0
36,43363.0,0.442,10,0,1,0
69,55622.0,0.33,2,1,0,0
57,19809.0,0.096,9,0,0,0
63,6159.0,0.363,2,0,1,0
22,34896.0,0.305,8,1,1,0
26,56977.0,0.385,6,3,1,0
24,52881.0,0.25,2,1,0,0
47,22635.0,0.309,7,0,1,0
40,28272.0,0.574,6,0,0,0
68,34154.0,0.346,6,1,1,0
33,11995.0,0.4,9,0,0,0
29,21222.0,0.455,10,1,0,1
62,21555.0,0.12,1,1,1,0
35,65421.0,0.356,2,0,1,0
57,21406.0,0.073,3,3,1,1
35,65048.0,0.135,10,1,1,0
47,29868.0,0.269,8,0,1,0
24,12833.0,0.305,5,0,1,0
53,89971.0,0.26,8,1,0,0
65,18266.0,0.161,1,1,1,0
54,40472.0,0.182,3,0,0,0
64,69758.0,0.085,4,0,1,0
59,22752.0,0.275,2,1,1,0
48,16070.0,0.373,0,0,1,0
66,50034.0,0.22,7,0,0,0
44,30721.0,0.479,3,1,1,0
28,16096.0,0.077,1,1,0,0
48,17316.0,0.186,8,0,0,0
51,24469.0,0.157,10,0,1,0
29,48147.0,0.163,11,1,1,0
28,25757.0,0.135,9,2,1,0
53,41244.0,0.325,7,4,0,1
42,67938.0,0.345,9,2,0,1
44,56090.0,0.505,5,0,0,0
59,61010.0,0.541,9,1,1,0
54,55048.0,0.424,3,0,0,0
64,13303.0,0.279,8,0,0,0
29,54801.0,0.104,0,1,1,0
58,35041.0,0.34,3,1,0,1
47,27940.0,0.218,4,0,0,0
22,17286.0,0.306,0,0,0,0
24,13433.0,0.049,5,3,1,0
38,17059.0,0.292,7,0,1,0
52,29417.0,0.13,6,0,1,0
28,16522.0,0.086,10,1,0,0
47,19767.0,0.405,1,1,0,1
69,21843.0,0.303,0,1,1,0
27,41493.0,0.284,1,1,0,0
28,25653.0,0.336,11,1,1,0
68,27641.0,0.259,7,2,0,0
32,57706.0,0.427,7,0,0,0
63,25321.0,0.141,6,0,1,0
38,40120.0,0.248,0,1,1,0
58,17524.0,0.408,11,2,0,1
23,35051.0,0.21,1,0,1,0
52,31564.0,0.141,0,0,1,0
63,32457.0,0.074,1,1,0,0
37,23548.0,0.332,11,1,1,1
52,17760.0,0.089,5,0,1,0
31,25597.0,0.441,2,0,1,0
28,23530.0,0.058,8,1,0,0
21,49846.0,0.094,9,0,1,0
45,46813.0,0.373,6,0,1,0
46,16300.0,0.308,11,0,1,0
24,40687.0,0.215,2,0,1,0
32,23392.0,0.369,10,0,0,1
50,37401.0,0.432,3,0,1,0
38,23370.0,0.356,8,1,0,1
32,14244.0,0.405,10,2,1,1
21,49421.0,0.125,10,0,1,0
22,37278.0,0.115,2,1,1,0
52,16109.0,0.179,4,0,1,0
26,11548.0,0.314,6,0,0,1
62,22763.0,0.193,10,1,1,0
48,16466.0,0.174,1,0,0,0
33,24786.0,0.141,5,0,0,0
52,40544.0,0.35,4,0,1,0
28,61978.0,0.069,5,0,1,0
36,24875.0,0.322,0,0,0,0
45,59200.0,0.267,11,0,1,0
52,53219.0,0.359,11,1,1,0
27,23928.0,0.336,2,0,1,0
38,12919.0,0.433,1,0,1,1
25,45560.0,0.246,10,1,1,0
27,40344.0,0.645,2,0,0,0
31,96516.0,0.138,10,3,1,0
36,60833.0,0.257,9,0,1,0
65,44010.0,0.244,5,1,1,0
40,69242.0,0.419,0,2,0,0
26,17630.0,0.195,8,0,0,0
65,32810.0,0.152,7,2,0,0
48,25984.0,0.392,6,0,0,0
26,71207.0,0.221,8,0,1,0
25,39534.0,0.295,5,2,1,0
25,6456.0,0.262,0,0,1,0
65,59167.0,0.181,3,0,1,0
48,18956.0,0.054,9,0,0,0
54,44021.0,0.343,2,0,0,0
68,23501.0,0.362,7,0,1,0
40,33763.0,0.371,8,0,1,0
65,41066.0,0.211,2,0,0,0
40,32948.0,0.236,6,0,0,0
55,18564.0,0.429,11,2,0,1
61,60234.0,0.134,8,0,0,0
24,36505.0,0.132,5,0,1,0
56,29691.0,0.492,10,1,1,1
60,42631.0,0.133,1,1,1,0
68,22921.0,0.051,8,1,1,0
54,76941.0,0.276,6,1,0,0
44,33540.0,0.088,6,0,0,0
28,35993.0,0.265,1,0,1,0
58,35670.0,0.372,8,1,1,0
43,19002.0,0.266,6,0,0,0
60,16674.0,0.483,5,1,1,0
23,33442.0,0.21,6,0,0,0
37,35787.0,0.666,1,2,1,1
60,58823.0,0.428,8,2,1,0
50,37610.0,0.216,5,0,1,0
56,17411.0,0.676,6,2,1,1
49,39055.0,0.438,7,1,1,0
60,45402.0,0.705,8,0,1,0
61,49572.0,0.106,2,0,0,0
58,35472.0,0.252,4,2,0,0
53,16299.0,0.029,10,0,0,0
34,53656.0,0.378,0,2,1,0
24,20820.0,0.147,11,1,0,0
59,39996.0,0.108,3,0,0,0
38,13672.0,0.108,10,0,1,0
33,44001.0,0.024,5,0,0,0
21,20274.0,0.468,3,1,0,1
27,51574.0,0.122,0,1,1,0
22,72516.0,0.422,2,0,0,0
40,53864.0,0.167,4,0,0,0
35,16736.0,0.298,6,0,0,0
45,18715.0,0.338,8,0,0,1
49,19413.0,0.401,1,1,1,1
35,41782.0,0.602,10,0,0,1
47,35654.0,0.231,1,0,0,0
50,32466.0,0.404,6,1,1,0
53,35007.0,0.18,2,0,0,0
50,40071.0,0.307,5,0,1,0
22,41527.0,0.104,10,0,0,0
32,69781.0,0.279,9,0,1,0
59,29145.0,0.495,4,0,1,0
51,33177.0,0.755,1,1,0,1
35,11844.0,0.274,11,0,0,1
38,15449.0,0.049,5,0,0,0
66,21167.0,0.416,8,0,1,0
56,16538.0,0.321,9,0,1,0
39,33409.0,0.094,5,0,0,0
35,50336.0,0.111,4,0,0,0
27,24045.0,0.161,9,0,1,0
60,23442.0,0.117,7,1,1,0
51,23127.0,0.194,2,0,0,0
41,31879.0,0.33,5,1,1,0
54,22731.0,0.188,7,2,1,1
48,36937.0,0.26,11,1,0,0
47,34675.0,0.433,8,0,0,0
53,35425.0,0.388,7,0,1,0
58,43683.0,0.153,6,2,0,0
46,30274.0,0.38,1,0,1,0
41,32013.0,0.053,1,0,1,0
33,71790.0,0.575,9,0,1,0
35,29102.0,0.261,7,1,1,0
68,44364.0,0.223,1,1,1,0
30,30572.0,0.411,1,1,1,0
25,23657.0,0.336,5,2,0,1
51,23661.0,0.228,8,1,1,0
36,19728.0,0.178,8,0,0,0
25,29902.0,0.452,10,0,0,0
47,21974.0,0.362,4,0,0,0
57,24052.0,0.011,6,0,1,0
22,54676.0,0.099,10,0,0,0
44,27796.0,0.433,10,2,0,1
28,52547.0,0.204,2,1,1,0
49,33931.0,0.423,1,1,1,0
60,45717.0,0.213,6,1,0,0
60,21889.0,0.199,10,1,1,0
59,31974.0,0.556,10,0,0,1
35,110937.0,0.575,10,0,1,0
52,44912.0,0.391,10,1,0,1
52,49035.0,0.225,8,2,1,0
65,33357.0,0.045,1,0,0,0
55,45567.0,0.533,8,0,1,0
58,16596.0,0.411,8,1,1,1
25,19385.0,0.308,0,0,0,1
35,36753.0,0.449,6,1,1,0
39,44686.0,0.076,0,2,0,0
52,24152.0,0.161,7,0,0,0
63,26988.0,0.284,10,1,1,0
37,24730.0,0.379,7,3,0,1
45,26970.0,0.209,9,1,0,0
57,16250.0,0.088,9,2,1,0
30,14462.0,0.391,8,1,0,1
39,28409.0,0.308,6,0,1,0
30,12408.0,0.079,8,0,1,0
28,18130.0,0.347,1,0,1,0
54,21249.0,0.276,4,0,1,0
63,17453.0,0.222,3,0,1,0
28,33266.0,0.042,2,0,1,0
54,23614.0,0.05,11,0,1,0
55,28329.0,0.564,8,2,1,1
57,17789.0,0.307,0,2,1,0
55,20329.0,0.039,5,0,0,0
48,38042.0,0.387,0,1,1,0
26,35288.0,0.247,11,1,1,0
59,23310.0,0.323,4,2,1,0
30,35264.0,0.17,7,0,1,0
42,32275.0,0.258,7,0,1,0
67,31808.0,0.24,0,0,1,0
48,65165.0,0.16,8,0,1,0
35,24016.0,0.084,1,0,0,0
24,36177.0,0.567,9,0,0,0
33,36200.0,0.121,6,0,0,0
48,26073.0,0.164,8,1,1,0
62,16364.0,0.199,1,0,1,0
60,41370.0,0.514,11,1,0,1
31,33367.0,0.547,8,1,1,1
55,29992.0,0.12,10,1,0,0
52,29584.0,0.317,1,0,0,1
60,29538.0,0.084,4,1,0,0
45,18680.0,0.201,2,0,1,0
45,33782.0,0.349,1,0,0,0
41,11843.0,0.304,2,1,0,1
64,28775.0,0.423,4,2,1,1
46,13788.0,0.14,1,0,1,0
26,24416.0,0.191,0,1,1,0
45,41608.0,0.438,1,0,0,0
63,25544.0,0.545,7,0,0,1
61,22866.0,0.47,0,0,1,0
39,37552.0,0.505,8,1,0,1
64,25375.0,0.255,0,0,0,0
25,23665.0,0.046,8,0,1,0
57,23828.0,0.068,1,1,1,0
51,61747.0,0.235,7,0,0,0
21,40401.0,0.348,4,1,0,1
43,36845.0,0.163,4,0,1,0
39,15972.0,0.425,10,0,0,1
41,39451.0,0.156,9,0,0,0
33,15159.0,0.734,5,0,0,1
62,36757.0,0.09,9,0,0,0
61,16549.0,0.209,0,1,0,0
27,76711.0,0.286,5,1,0,0
58,12449.0,0.346,5,0,0,0
51,53199.0,0.373,0,1,0,0
30,43094.0,0.309,4,0,1,0
41,11882.0,0.141,5,1,1,0
34,25587.0,0.224,8,2,0,1
46,59404.0,0.234,6,1,1,0
27,50909.0,0.369,10,1,0,0
45,12588.0,0.147,11,1,1,0
26,22237.0,0.255,4,1,0,0
27,16036.0,0.305,0,0,0,0
62,17273.0,0.347,1,2,1,1
46,20911.0,0.303,8,1,0,0
35,72362.0,0.081,1,0,1,0
63,30802.0,0.279,1,0,1,0
37,25735.0,0.055,8,2,0,0
29,24369.0,0.044,4,4,0,1
65,40187.0,0.146,8,0,1,0
21,40687.0,0.345,2,1,0,0
67,18189.0,0.415,10,2,1,1
24,59970.0,0.281,1,1,0,0
60,16757.0,0.192,0,0,0,0
43,25067.0,0.257,10,0,0,0
27,36063.0,0.116,2,0,0,0
68,67709.0,0.712,8,0,1,1
41,24212.0,0.132,4,1,1,0
23,33209.0,0.066,8,1,0,0
56,55202.0,0.354,1,0,0,0
69,39307.0,0.043,1,0,1,0
28,50566.0,0.261,1,0,0,0
47,48367.0,0.719,7,0,1,0
66,32775.0,0.193,8,0,0,0
26,39452.0,0.128,5,1,1,0
59,45512.0,0.266,1,1,0,0
41,28384.0,0.109,4,0,1,0
23,63993.0,0.288,4,0,1,0
31,10663.0,0.157,7,1,1,0
63,18164.0,0.632,8,2,0,1
55,59239.0,0.123,1,0,0,0
64,35632.0,0.042,3,0,1,0
47,20860.0,0.203,6,0,1,0
27,34774.0,0.127,10,0,1,0
35,49560.0,0.5,9,0,1,0
35,21769.0,0.033,4,1,0,0
33,42263.0,0.047,5,1,0,0
24,27085.0,0.197,0,0,0,0
63,27205.0,0.603,5,2,1,1
25,27814.0,0.168,3,0,1,0
58,50195.0,0.04,11,0,1,0
56,16453.0,0.425,2,0,1,0
42,23964.0,0.098,6,1,0,0
51,40107.0,0.468,6,0,0,0
40,15657.0,0.309,9,1,0,1
46,13066.0,0.361,8,0,0,1
57,38279.0,0.373,1,0,1,0
43,28825.0,0.29,3,0,0,1
68,26760.0,0.075,5,0,0,0
62,30929.0,0.309,3,0,0,0
24,17717.0,0.496,4,0,1,1
65,123573.0,0.711,4,1,1,0
28,17611.0,0.11,2,2,1,0
31,23172.0,0.103,4,1,0,0
38,14152.0,0.341,4,0,0,0
61,23398.0,0.231,9,1,1,0
45,61785.0,0.368,8,1,0,1
58,29080.0,0.749,0,0,0,1
24,38783.0,0.076,9,2,1,0
57,22621.0,0.804,4,1,0,1
23,71314.0,0.399,3,1,1,0
33,31265.0,0.212,9,0,1,0
31,15432.0,0.66,1,0,1,1
61,42333.0,0.308,9,0,1,0
39,23945.0,0.432,4,2,0,1
58,39019.0,0.194,4,0,1,0
57,30881.0,0.262,10,0,0,0
54,32861.0,0.234,11,2,0,0
50,30841.0,0.095,6,1,0,0
63,18317.0,0.59,1,3,1,1
22,13592.0,0.309,10,0,1,0
53,46916.0,0.111,9,0,1,0
23,26915.0,0.344,2,1,1,1
51,33222.0,0.164,10,0,0,0
43,22838.0,0.317,9,1,1,0
68,10472.0,0.502,4,0,1,1
63,15208.0,0.444,1,0,0,1
23,57852.0,0.137,9,0,0,0
65,19444.0,0.285,9,0,0,0
29,23778.0,0.399,3,1,1,1
38,13824.0,0.401,0,0,1,0
47,22111.0,0.308,9,0,0,0
64,23891.0,0.11,8,0,0,0
37,25761.0,0.281,3,0,0,0
66,27734.0,0.262,6,2,1,0
35,20981.0,0.111,8,0,0,0
40,21586.0,0.332,1,1,1,0
66,28565.0,0.268,11,1,1,0
57,33795.0,0.041,7,2,0,0
54,26783.0,0.438,0,2,0,1
38,68715.0,0.483,1,1,0,0
21,31857.0,0.232,7,0,0,0
28,31156.0,0.067,9,1,1,0
36,20704.0,0.248,10,0,1,0
49,48024.0,0.334,5,1,0,0
63,17223.0,0.196,3,2,1,0
25,12792.0,0.285,8,1,1,0
23,17639.0,0.229,1,2,0,1
53,39139.0,0.111,10,1,0,0
32,16204.0,0.44,7,1,0,1
60,54832.0,0.233,4,0,1,0
49,28386.0,0.337,9,0,1,0
65,13451.0,0.131,3,0,0,0
43,25598.0,0.197,4,2,0,0
42,70012.0,0.244,10,1,1,0
59,18669.0,0.532,0,1,1,0
26,14908.0,0.235,4,1,1,0
31,37074.0,0.216,6,1,1,0
65,55135.0,0.292,0,2,0,0
27,47691.0,0.167,1,0,0,0
63,24344.0,0.221,8,1,1,0
55,31510.0,0.231,0,0,0,0
68,33750.0,0.229,1,2,0,1
34,51598.0,0.132,7,0,0,0
50,83998.0,0.33,6,0,0,0
23,27183.0,0.022,7,1,0,0
53,54931.0,0.21,5,0,1,0
23,24154.0,0.612,0,0,0,1
39,38511.0,0.237,3,1,0,0
36,17990.0,0.03,4,1,0,0
29,19578.0,0.193,8,0,1,0
47,35305.0,0.644,5,3,0,1
35,18321.0,0.274,1,1,0,0
25,44699.0,0.284,8,2,1,0
56,21783.0,0.119,6,1,0,0
30,29820.0,0.142,2,1,0,0
36,27513.0,0.186,10,0,1,0
36,24282.0,0.195,1,0,1,0
54,30628.0,0.275,8,0,0,0
56,49208.0,0.594,4,1,1,0
45,135509.0,0.057,8,0,1,0
24,15847.0,0.138,9,1,0,0
43,33331.0,0.261,1,1,1,0
55,26276.0,0.362,4,0,0,1
68,18171.0,0.466,0,0,1,0
67,33103.0,0.483,10,2,0,1
29,18488.0,0.267,8,1,1,0
33,27588.0,0.241,5,0,0,0
44,53320.0,0.124,10,0,1,0
33,10444.0,0.247,7,0,1,0
28,32469.0,0.536,1,0,0,1
31,35867.0,0.344,10,1,0,1
66,17775.0,0.133,3,0,0,0
55,37278.0,0.093,7,2,1,0
44,34201.0,0.306,11,2,0,1
48,24095.0,0.151,11,1,0,0
37,52587.0,0.179,2,0,1,0
47,14921.0,0.233,2,0,1,0
29,39568.0,0.27,3,0,0,0
23,25526.0,0.257,9,2,0,1
50,16916.0,0.691,3,1,0,1
48,26250.0,0.062,11,1,1,0
40,24090.0,0.155,4,1,0,0
43,43200.0,0.559,10,1,0,1
27,13583.0,0.343,10,0,1,0
62,26026.0,0.221,11,2,0,0
22,22842.0,0.269,7,0,0,0
44,62979.0,0.258,10,3,1,1
40,16399.0,0.338,2,1,1,0
59,48691.0,0.109,0,0,0,0
49,11915.0,0.329,4,1,1,0
30,34044.0,0.085,6,0,0,0
46,26770.0,0.362,10,1,1,0
50,34599.0,0.767,5,1,0,1
65,20148.0,0.221,4,0,0,0
46,10791.0,0.143,9,0,0,0
65,13212.0,0.253,5,0,1,0
37,55116.0,0.36,6,0,1,0
66,31796.0,0.462,7,2,0,1
67,18545.0,0.31,1,1,0,1
60,44780.0,0.602,9,1,0,0
62,19666.0,0.202,5,2,0,0
44,19719.0,0.673,6,0,1,1
66,15552.0,0.222,10,0,0,0
46,51370.0,0.175,7,2,1,0
49,76036.0,0.085,1,0,0,0
40,17595.0,0.164,5,0,1,0
49,32912.0,0.069,9,2,0,0
40,46417.0,0.434,4,1,1,0
48,81953.0,0.218,8,1,0,0
23,8577.0,0.427,7,1,0,1
24,30516.0,0.237,6,1,1,0
60,39251.0,0.345,4,0,0,0
63,13560.0,0.517,8,0,1,0
33,34833.0,0.15,1,3,0,0
21,31343.0,0.223,3,2,0,1
22,40761.0,0.344,6,2,0,1
59,21211.0,0.635,8,0,1,0
43,34968.0,0.313,4,0,0,0
34,20963.0,0.44,10,0,1,0
56,38406.0,0.259,9,2,1,0
46,30698.0,0.062,5,0,0,0
42,23489.0,0.381,6,1,1,0
25,13972.0,0.111,11,1,0,1
38,64633.0,0.269,7,1,1,0
58,49362.0,0.479,7,0,1,0
53,44016.0,0.104,1,0,1,0
44,20335.0,0.133,3,1,0,0
28,23792.0,0.042,7,0,1,0
52,65342.0,0.298,9,1,1,0
21,41134.0,0.445,9,0,0,0
69,18520.0,0.438,5,1,1,0
50,29022.0,0.145,5,0,1,0
56,30441.0,0.092,8,0,1,0
46,25671.0,0.311,4,0,0,1
38,17702.0,0.257,0,1,0,0
63,53152.0,0.168,3,1,1,0
22,38120.0,0.433,8,0,1,0
41,25734.0,0.246,6,1,1,0
56,12938.0,0.312,1,0,0,1
59,21228.0,0.441,4,1,1,0
33,28369.0,0.178,11,0,1,0
21,43900.0,0.097,0,0,0,0
68,23653.0,0.152,4,0,1,0
22,49553.0,0.186,4,2,0,1
60,30553.0,0.149,9,1,0,0
50,19639.0,0.343,10,0,0,1
21,7055.0,0.174,0,0,0,0
32,15852.0,0.054,8,0,0,0
29,13539.0,0.209,3,2,0,1
24,26459.0,0.348,4,2,1,1
50,33719.0,0.229,0,2,1,0
27,57242.0,0.52,1,2,0,1
37,28399.0,0.045,10,2,0,0
39,16020.0,0.733,10,0,0,1
22,92725.0,0.112,8,0,0,0
37,33431.0,0.286,8,0,1,0
50,25087.0,0.095,8,1,0,0
48,25109.0,0.215,9,1,1,0
47,14566.0,0.087,4,0,0,0
64,39370.0,0.305,10,0,0,0
30,34545.0,0.244,9,2,1,0
38,63443.0,0.242,4,0,0,0
54,49761.0,0.455,3,0,1,0
30,44293.0,0.394,0,1,0,0
36,53851.0,0.146,11,2,0,0
49,24912.0,0.394,11,1,1,0
55,23013.0,0.139,2,0,1,0
21,28037.0,0.304,6,0,1,0
40,15422.0,0.496,5,1,1,0
39,26782.0,0.156,5,0,1,0
36,24411.0,0.153,6,0,1,0
36,40235.0,0.66,7,1,1,1
62,28602.0,0.349,7,1,0,1
39,11101.0,0.459,2,0,1,1
50,29282.0,0.233,5,1,1,0
23,58575.0,0.068,8,2,0,0
58,11530.0,0.269,9,0,1,0
48,19755.0,0.069,8,1,0,0
39,29137.0,0.197,3,0,0,0
51,14891.0,0.186,7,0,1,0
58,21970.0,0.265,5,1,1,0
57,29747.0,0.231,8,1,0,0
63,14961.0,0.092,0,1,1,0
67,33540.0,0.35,6,1,0,0
58,35541.0,0.357,1,0,1,0
38,15369.0,0.243,2,2,0,1
58,29384.0,0.453,0,1,1,0
53,49767.0,0.48,11,0,0,0
36,26575.0,0.153,5,0,0,0
42,36096.0,0.536,7,0,1,0
21,40061.0,0.086,4,0,0,0
31,25837.0,0.486,6,0,1,0
27,47514.0,0.327,11,0,0,0
64,35255.0,0.665,11,0,0,0
66,17726.0,0.179,9,0,0,0
57,37798.0,0.21,7,1,1,0
34,44884.0,0.226,0,0,0,0
67,43580.0,0.155,0,0,0,0
32,21130.0,0.405,3,2,1,1
61,36711.0,0.224,9,2,0,1
58,57978.0,0.655,5,1,1,1
65,32775.0,0.54,0,1,0,1
57,52832.0,0.404,3,0,0,0
27,56023.0,0.251,0,1,1,0
21,28724.0,0.364,3,1,1,1
21,40721.0,0.446,3,1,0,1
68,25321.0,0.329,6,0,1,0
30,49970.0,0.111,2,2,0,0
62,28005.0,0.584,1,0,1,1
41,22268.0,0.39,8,0,1,0
63,28952.0,0.159,8,4,0,1
54,28289.0,0.233,11,1,0,0
24,35522.0,0.205,6,0,1,0
42,37042.0,0.289,7,2,0,1
53,16400.0,0.28,9,1,0,0
46,21206.0,0.062,7,2,1,1
28,35173.0,0.395,9,0,0,0
58,37384.0,0.172,6,0,0,0
55,30694.0,0.171,6,0,0,0
24,109792.0,0.549,3,0,1,0
30,51516.0,0.171,7,0,0,0
54,28363.0,0.227,6,0,0,0
27,42442.0,0.212,11,0,0,0
23,57606.0,0.298,1,0,1,0
38,35448.0,0.29,8,1,0,1
33,12345.0,0.165,5,0,0,0
38,31044.0,0.571,8,0,1,0
56,30353.0,0.156,5,0,0,0
32,86024.0,0.078,0,0,1,0
54,11823.0,0.238,9,1,1,0
49,64252.0,0.232,6,2,1,0
40,27448.0,0.35,7,1,1,0
26,47308.0,0.118,6,2,0,0
35,25678.0,0.201,0,2,1,0
39,32461.0,0.144,1,1,1,0
61,52393.0,0.382,3,0,1,0
21,31053.0,0.207,10,0,1,0
34,50460.0,0.301,6,0,1,0
57,28621.0,0.254,7,0,0,0
22,24291.0,0.526,5,1,0,1
49,26736.0,0.295,11,0,1,0
33,23204.0,0.572,1,0,0,1
